relation,src_node_id,dst_node_id,src_node_index,dst_node_index,jaccard,shared_genes
herb_gene_jaccard,HN1009,HN844,2742,2736,0.24401913583278656,51
herb_gene_jaccard,HN1019,HN6467,2743,2991,0.8190954923629761,163
herb_gene_jaccard,HN1019,HN2681,2743,2816,0.8146341443061829,167
herb_gene_jaccard,HN1019,HN3677,2743,2867,0.8009950518608093,161
herb_gene_jaccard,HN1019,HN7629,2743,3041,0.7886598110198975,153
herb_gene_jaccard,HN1019,HN6909,2743,3005,0.7488372325897217,161
herb_gene_jaccard,HN1019,HN1133,2743,2746,0.709956705570221,164
herb_gene_jaccard,HN1019,HN1874,2743,2782,0.6929460763931274,167
herb_gene_jaccard,HN1019,HN2154,2743,2793,0.675000011920929,162
herb_gene_jaccard,HN1019,HN6646,2743,2997,0.6666666865348816,134
herb_gene_jaccard,HN1019,HN33,2743,2706,0.658730149269104,166
herb_gene_jaccard,HN1104,HN8523,2744,3089,0.7101449370384216,49
herb_gene_jaccard,HN1125,HN3321,2745,2850,0.5492228269577026,106
herb_gene_jaccard,HN1125,HN4828,2745,2916,0.5054945349693298,92
herb_gene_jaccard,HN1125,HN7698,2745,3047,0.5015974640846252,157
herb_gene_jaccard,HN1125,HN8012,2745,3063,0.4962121248245239,131
herb_gene_jaccard,HN1125,HN7077,2745,3015,0.4715026021003723,91
herb_gene_jaccard,HN1125,HN5301,2745,2933,0.47058823704719543,80
herb_gene_jaccard,HN1125,HN8142,2745,3072,0.4693877696990967,92
herb_gene_jaccard,HN1125,HN1329,2745,2753,0.4590163826942444,84
herb_gene_jaccard,HN1125,HN7213,2745,3026,0.45614033937454224,78
herb_gene_jaccard,HN1125,HN2714,2745,2818,0.4505814015865326,155
herb_gene_jaccard,HN1133,HN7971,2746,3061,0.8468084931373596,199
herb_gene_jaccard,HN1133,HN6467,2746,2991,0.8075117468833923,172
herb_gene_jaccard,HN1133,HN3677,2746,2867,0.7906976938247681,170
herb_gene_jaccard,HN1133,HN2681,2746,2816,0.7873303294181824,174
herb_gene_jaccard,HN1133,HN4991,2746,2923,0.7795275449752808,198
herb_gene_jaccard,HN1133,HN402,2746,2720,0.7522522807121277,167
herb_gene_jaccard,HN1133,HN6909,2746,3005,0.7423580884933472,170
herb_gene_jaccard,HN1133,HN2191,2746,2795,0.7344398498535156,177
herb_gene_jaccard,HN1133,HN2333,2746,2802,0.7142857313156128,180
herb_gene_jaccard,HN1133,HN3786,2746,2872,0.7119341492652893,173
herb_gene_jaccard,HN1174,HN8157,2747,3073,0.9414634108543396,193
herb_gene_jaccard,HN1174,HN6123,2747,2973,0.9350000023841858,187
herb_gene_jaccard,HN1174,HN2937,2747,2829,0.8767123222351074,192
herb_gene_jaccard,HN1174,HN2191,2747,2795,0.8423423171043396,187
herb_gene_jaccard,HN1174,HN2333,2747,2802,0.8154506683349609,190
herb_gene_jaccard,HN1174,HN585,2747,2730,0.8149999976158142,163
herb_gene_jaccard,HN1174,HN7764,2747,3052,0.8085106611251831,190
herb_gene_jaccard,HN1174,HN5565,2747,2944,0.8016877770423889,190
herb_gene_jaccard,HN1174,HN4091,2747,2885,0.7914893627166748,186
herb_gene_jaccard,HN1174,HN3383,2747,2854,0.7894737124443054,195
herb_gene_jaccard,HN1184,HN699,2748,2734,0.6903225779533386,107
herb_gene_jaccard,HN1184,HN3437,2748,2856,0.6887417435646057,104
herb_gene_jaccard,HN1184,HN5505,2748,2940,0.6432748436927795,110
herb_gene_jaccard,HN1184,HN4849,2748,2917,0.6274510025978088,96
herb_gene_jaccard,HN1184,HN3804,2748,2874,0.6257668733596802,102
herb_gene_jaccard,HN1184,HN934,2748,2739,0.6219512224197388,102
herb_gene_jaccard,HN1184,HN3945,2748,2879,0.6181818246841431,102
